"TestId","Date","Time","Name","Segment","Position","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"pmSykcXq3sf2Yt4CIG6S","09/19/2022","08:47:49","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",588.089,0.3774,163.1188,-0.2858,6507.2464,-5225.6702,1493,253.8731,1216.7609,206.9008,1492,253.7031,1296.5628,220.4705,1524,259.1444,0.275,42.7019,0.138,21.4286,0.231,35.8696,0.545,0.644,86.3012,164.3869,467.693,250.6882,1.9048,-0.8746,-1.4513,1.633,2.721,2.8026,-971.8837,-16.2121,-1510.4275,-25.1957,1924.4753,32.1025,54.4725,3265.5116,3.6193,773,719,6.4706,647.7464,569.0145,2.8871,784,740,2.5956,665.1082,631.4545,-14.0312,2797.1014,3710.1449,12.2505,5.0609,"N/A",-8743.7719,2689,757.4473,457.2437,36.482,1835,854,10.6451,419.0393,338.4081,"N/A",0.8463,0.586,167.4575,2.7934,1.4396,300.2355,5.0083,2.7422
"zIbuQEThkNHbGIo56s8v","09/19/2022","08:45:59","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","Single Leg - Right",588.441,0.1628,107.2134,-0.2017,3293.75,-5527.0262,1115,189.4837,927.35,157.5944,1120,190.3334,939.43,159.6473,1115,189.4837,0.303,39.3506,0.16,20.7792,0.307,39.8701,0.377,0.77,53.9594,108.2966,437.058,162.2561,2.007,-0.5826,-0.9083,1.1586,1.7874,1.9439,-497.4779,-8.2935,-664.561,-11.079,995.4965,16.5961,28.5432,1712.1318,-100,0,1120,-99.9933,0.0313,927.3188,-100,0,1115,-99.9951,0.0228,939.4072,-100,0,3293.75,-99.9966,-99.9976,"N/A",-84.9562,2191,452.0091,372.3398,-100,0,2191,-98.1484,4.1848,447.8244,"N/A",0.4896,0.2115,148.11,2.4692,0.8996,288.948,4.8171,1.8054
"bV01kX7Vit6V7t4Yiqui","09/19/2022","08:42:14","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","Single Leg - Left",593.377,0.1758,112.2906,-0.1897,3806.8966,-6035.0486,1145,192.9633,977.3793,164.7147,1146,193.1319,988.786,166.6371,1145,192.9633,0.556,56.3895,0.145,14.7059,0.285,28.9047,0.376,0.986,55.4013,113.2451,423.7985,168.6464,2.0441,-0.5707,-0.9224,1.1712,1.8564,1.9845,-516.1455,-8.5332,-738.3097,-12.2061,1062.5413,17.5665,30.4736,1843.2542,100,1146,0,100,977.3793,0,100,1145,0,100,988.786,0,100,3806.8966,0,100,100,"1070",-14121.2941,1985,698.9178,334.5259,100,1985,0,63.4182,571.0794,127.8383,"77.6539",0.3813,0.1782,141.441,2.3384,0.9159,282.3575,4.6681,1.8722
"tWKigDcohlyEEmjzAHUD","09/16/2022","13:12:58","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",595.353,0.3731,164.1759,-0.3249,6431.5068,-4690.3207,1524,255.9826,1250.4795,210.04,1530,256.9904,1214.8195,204.0503,1524,255.9826,0.355,46.2842,0.146,19.0352,0.266,34.6806,0.565,0.767,95.17,165.5251,505.9805,260.6951,1.7393,-0.9382,-1.5813,1.6593,2.7052,2.8526,-1078.2125,-17.7664,-1642.6269,-27.0666,1825.6119,30.0817,55.474,3366.6248,3.6601,793,737,6.5257,666.0411,584.4384,3.5433,789,735,-2.2473,593.7594,621.0602,-11.8211,2835.6164,3595.8904,12.3368,-4.3652,"730",-6326.3316,3379,834.8575,567.5624,-16.4842,1411,1968,-22.7708,322.3767,512.4808,"-37.1202",0.7366,0.4863,182.0915,3.0004,1.5682,323.889,5.3369,2.7275
"ggAorJJ6mVVwWNbExDLU","09/16/2022","13:12:50","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",597.35,0.383,166.9458,-0.3282,5546.0526,-4394.944,1442,241.3995,1222.125,204.5911,1441,241.2321,1228.5321,205.6637,1455,243.5758,0.404,49.2083,0.152,18.514,0.265,32.2777,0.574,0.821,94.5368,167.9662,511.598,262.503,1.7767,-0.9097,-1.56,1.5907,2.7417,2.8256,-1030.8645,-16.9294,-1571.0604,-25.8008,1816.8409,29.8371,55.0349,3351.1819,2.4289,738,703,-0.7596,606.4211,615.7039,2.1306,743,712,0.7178,618.6755,609.8566,1.3049,2809.2105,2736.8421,-1.5165,1.426,"720",-4549.5296,2531,835.3208,423.7047,9.1268,1381,1150,12.3487,469.2361,366.0847,"21.9592",0.6991,0.4666,185.334,3.0437,1.5525,326.264,5.3581,2.7584
"u2MyoMg79liJ75pESfcQ","09/16/2022","13:12:38","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",598.76,0.3838,167.4835,-0.2959,7550.3876,-5303.8955,1569,262.0416,1328.8682,221.9367,1565,261.3735,1339.652,223.7377,1595,266.3839,0.461,56.4259,0.129,15.7895,0.227,27.7846,0.584,0.817,93.687,168.946,475.7915,262.6329,1.8033,-0.9035,-1.5499,1.6516,2.744,2.8268,-1109.1546,-18.1722,-1750.7112,-28.6834,2004.6947,32.8446,55.875,3410.3704,6.0703,830,735,2.5282,681.2326,647.6357,4.953,837,758,2.3837,685.793,653.859,5.3388,3976.7442,3573.6434,4.9191,4.6792,"670",-3982.9083,2668,855.2418,445.5875,8.1709,1443,1225,7.2096,458.4507,396.791,"13.4402",0.7148,0.4697,170.927,2.8004,1.535,304.8645,4.9949,2.768
"2iGUb8YJqUJhgpPNE5LD","09/15/2022","12:21:46","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",599.718,0.3896,169.0227,-0.3162,6860.1399,-5017.2565,1587,264.6244,1271.5245,212.0204,1588,264.7911,1280.5301,213.522,1587,264.6244,0.401,50.5675,0.143,18.0328,0.249,31.3997,0.581,0.793,95.5673,170.3017,500.9585,265.869,1.782,-0.9715,-1.5747,1.6832,2.7648,2.8506,-1112.7082,-18.2013,-1576.6037,-25.7896,1951.1196,31.9158,52.1302,3186.8935,0.8816,801,787,-3.0237,616.5385,654.986,0.8192,800,787,0.8945,645.992,634.5382,11.9266,3839.1608,3020.979,-5.9429,1.7814,"N/A",-5066.6284,3607,807.364,601.4493,10.1747,1987,1620,1.2424,408.6973,398.6667,"N/A",0.7327,0.4913,181.327,2.9661,1.5633,319.6315,5.2284,2.7857
"jFjof4GBoW3BSg8vMwsa","09/15/2022","12:21:34","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",598.934,0.3894,168.7341,-0.2913,8133.8583,-5578.2011,1625,271.3154,1339.1024,223.581,1629,271.9832,1328.2198,221.764,1625,271.3154,0.306,46.015,0.127,19.0977,0.232,34.8872,0.578,0.665,93.4734,169.9918,478.4825,263.4652,1.8186,-0.9371,-1.5425,1.6892,2.7637,2.8516,-1133.1451,-18.5599,-1603.2286,-26.2594,2020.1967,33.089,55.0255,3359.4973,1.5347,827,802,-0.9385,663.2677,675.8346,1.5385,825,800,0.3975,666.75,661.4698,0.6776,4094.4882,4039.3701,-1.8652,0.805,"880",-4932.6323,3224,796.3795,538.2897,10.3598,1779,1445,10.552,440.2068,356.1727,"19.0961",0.8692,0.5854,169.538,2.7769,1.531,308.9445,5.0602,2.7843
"OLoLdi3zSpYrF5rnAhbp","09/15/2022","12:21:23","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",599.34,0.3919,169.3821,-0.2916,7358.7786,-5384.0429,1570,261.9548,1324.3053,220.9606,1576,262.9559,1322.834,220.7151,1574,262.6222,0.3,45.045,0.131,19.6697,0.235,35.2853,0.579,0.666,94.4775,170.7881,484.624,265.2656,1.8077,-0.9433,-1.5601,1.6456,2.7724,2.8546,-1132.8823,-18.543,-1633.4384,-26.7361,1988.9363,32.5549,56.7847,3469.2474,4.9492,827,749,-0.2709,660.3588,663.9466,7.1156,843,731,3.5353,684.8,638.034,12.2407,4129.771,3229.0076,-0.6063,6.8572,"620",-5855.201,3127,877.5016,521.7406,5.1487,1644,1483,-7.2109,407.1129,470.3887,"-13.4529",0.8694,0.5882,172.991,2.8315,1.5464,311.633,5.1008,2.7955
"hHieCbqXf1D9bULXKFZW","09/14/2022","12:56:38","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",584.439,0.427,172.4234,-0.3066,6715.3285,-4897.3874,1501,256.8275,1264.3577,216.337,1501,256.8275,1240.8441,212.3137,1507,257.8541,0.295,42.446,0.137,19.7122,0.263,37.8417,0.581,0.695,92.6814,173.371,499.828,266.0524,1.8706,-0.9144,-1.5623,1.7277,2.8942,2.9852,-1065.0933,-17.8779,-1659.879,-27.8616,1961.6391,32.9268,56.8913,3389.3492,1.1326,759,742,1.4923,641.6131,622.7445,0.8626,760,747,-0.7379,615.8441,625,-12.3913,2941.6058,3773.7226,3.0133,-1.4409,"710",-16787.4474,3371,837.2634,576.7924,-12.0736,1482,1889,-17.3841,345.8563,491.407,"-29.6205",0.836,0.6143,172.7495,2.8997,1.5557,327.0785,5.4901,2.9101
